id,name,subdir,relative_path,text_prompt
164,Blanton's Original Single Barrel,blantons_original_single_barrel,data\images\blantons_original_single_barrel\164_blantons_original_single_barrel.jpg,A photo of Blanton's Original Single Barrel Bourbon whisky
2848,Eagle Rare 10 Year,eagle_rare_10_year,data\images\eagle_rare_10_year\2848_eagle_rare_10_year.jpg,A photo of Eagle Rare 10 Year Bourbon whisky
4984,"E.H. Taylor, Jr. Small Batch","e.h._taylor,_jr._small_batch","data\images\e.h._taylor,_jr._small_batch\4984_e.h._taylor,_jr._small_batch.jpg","A photo of E.H. Taylor, Jr. Small Batch Bourbon whisky"
466,Buffalo Trace,buffalo_trace,data\images\buffalo_trace\466_buffalo_trace.jpg,A photo of Buffalo Trace Bourbon whisky
158,Weller Antique 107,weller_antique_107,data\images\weller_antique_107\158_weller_antique_107.jpg,A photo of Weller Antique 107 Bourbon whisky
2803,Weller Special Reserve,weller_special_reserve,data\images\weller_special_reserve\2803_weller_special_reserve.jpg,A photo of Weller Special Reserve Bourbon whisky
1586,Weller 12 Year The Original Wheated Bourbon,weller_12_year_the_original_wheated_bourbon,data\images\weller_12_year_the_original_wheated_bourbon\1586_weller_12_year_the_original_wheated_bourbon.jpg,A photo of Weller 12 Year The Original Wheated Bourbon Bourbon whisky
2993,Stagg Jr.,stagg_jr.,data\images\stagg_jr\2993_stagg_jr..jpg,A photo of Stagg Jr. Bourbon whisky
4662,Henry McKenna 10 Year,henry_mckenna_10_year,data\images\henry_mckenna_10_year\4662_henry_mckenna_10_year.jpg,A photo of Henry McKenna 10 Year Bourbon whisky
409,Weller Full Proof,weller_full_proof,data\images\weller_full_proof\409_weller_full_proof.jpg,A photo of Weller Full Proof Bourbon whisky
5120,"E.H. Taylor, Jr. Single Barrel","e.h._taylor,_jr._single_barrel","data\images\e.h._taylor,_jr._single_barrel\5120_e.h._taylor,_jr._single_barrel.jpg","A photo of E.H. Taylor, Jr. Single Barrel Bourbon whisky"
13266,Heaven Hill Bottled In Bond 7 Year,heaven_hill_bottled_in_bond_7_year,data\images\heaven_hill_bottled_in_bond_7_year\13266_heaven_hill_bottled_in_bond_7_year.jpg,A photo of Heaven Hill Bottled In Bond 7 Year Bourbon whisky
13089,Elijah Craig Toasted Barrel,elijah_craig_toasted_barrel,data\images\elijah_craig_toasted_barrel\13089_elijah_craig_toasted_barrel.jpg,A photo of Elijah Craig Toasted Barrel Bourbon whisky
150,1792 Full Proof,1792_full_proof,data\images\1792_full_proof\150_1792_full_proof.jpg,A photo of 1792 Full Proof Bourbon whisky
159,Blanton's Gold Edition,blantons_gold_edition,data\images\blantons_gold_edition\159_blantons_gold_edition.jpg,A photo of Blanton's Gold Edition Bourbon whisky
4905,Elmer T. Lee,elmer_t._lee,data\images\elmer_t._lee\4905_elmer_t._lee.jpg,A photo of Elmer T. Lee Bourbon whisky
1296,Knob Creek 12 Year,knob_creek_12_year,data\images\knob_creek_12_year\1296_knob_creek_12_year.jpg,A photo of Knob Creek 12 Year Bourbon whisky
1805,Sazerac Rye Whiskey,sazerac_rye_whiskey,data\images\sazerac_rye_whiskey\1805_sazerac_rye_whiskey.jpg,A photo of Sazerac Rye Whiskey Rye whisky
1816,Wild Turkey Rare Breed,wild_turkey_rare_breed,data\images\wild_turkey_rare_breed\1816_wild_turkey_rare_breed.jpg,A photo of Wild Turkey Rare Breed Bourbon whisky
2336,Woodford Reserve Double Oaked,woodford_reserve_double_oaked,data\images\woodford_reserve_double_oaked\2336_woodford_reserve_double_oaked.jpg,A photo of Woodford Reserve Double Oaked Bourbon whisky
1522,Russell's Reserve 10 Year,russells_reserve_10_year,data\images\russells_reserve_10_year\1522_russells_reserve_10_year.jpg,A photo of Russell's Reserve 10 Year Bourbon whisky
263,Old Forester 1920 Prohibition Style,old_forester_1920_prohibition_style,data\images\old_forester_1920_prohibition_style\263_old_forester_1920_prohibition_style.jpg,A photo of Old Forester 1920 Prohibition Style Bourbon whisky
3088,Rock Hill Farms Bourbon,rock_hill_farms_bourbon,data\images\rock_hill_farms_bourbon\3088_rock_hill_farms_bourbon.jpg,A photo of Rock Hill Farms Bourbon Bourbon whisky
4589,Weller C.Y.P.B.,weller_c.y.p.b.,data\images\weller_c.y.p.b\4589_weller_c.y.p.b..jpg,A photo of Weller C.Y.P.B. Bourbon whisky
4742,Old Grand Dad 114,old_grand_dad_114,data\images\old_grand_dad_114\4742_old_grand_dad_114.jpg,A photo of Old Grand Dad 114 Bourbon whisky
15946,Smoke Wagon Uncut Unfiltered Bourbon,smoke_wagon_uncut_unfiltered_bourbon,data\images\smoke_wagon_uncut_unfiltered_bourbon\15946_smoke_wagon_uncut_unfiltered_bourbon.jpg,A photo of Smoke Wagon Uncut Unfiltered Bourbon Bourbon whisky
2839,Caribou Crossing,caribou_crossing,data\images\caribou_crossing\2839_caribou_crossing.jpg,A photo of Caribou Crossing Canadian Whisky whisky
2193,Evan Williams Bottled in Bond White Label,evan_williams_bottled_in_bond_white_label,data\images\evan_williams_bottled_in_bond_white_label\2193_evan_williams_bottled_in_bond_white_label.jpg,A photo of Evan Williams Bottled in Bond White Label Bourbon whisky
1643,1792 Small Batch,1792_small_batch,data\images\1792_small_batch\1643_1792_small_batch.jpg,A photo of 1792 Small Batch Bourbon whisky
1165,Four Roses Single Barrel Straight Bourbon,four_roses_single_barrel_straight_bourbon,data\images\four_roses_single_barrel_straight_bourbon\1165_four_roses_single_barrel_straight_bourbon.jpg,A photo of Four Roses Single Barrel Straight Bourbon Bourbon whisky
3655,Angel's Envy,angels_envy,data\images\angels_envy\3655_angels_envy.jpg,A photo of Angel's Envy Bourbon whisky
4952,Elijah Craig 18 Year Single Barrel,elijah_craig_18_year_single_barrel,data\images\elijah_craig_18_year_single_barrel\4952_elijah_craig_18_year_single_barrel.jpg,A photo of Elijah Craig 18 Year Single Barrel Bourbon whisky
1587,Willett Pot Still Reserve Bourbon,willett_pot_still_reserve_bourbon,data\images\willett_pot_still_reserve_bourbon\1587_willett_pot_still_reserve_bourbon.jpg,A photo of Willett Pot Still Reserve Bourbon Bourbon whisky
4792,Elijah Craig Small Batch,elijah_craig_small_batch,data\images\elijah_craig_small_batch\4792_elijah_craig_small_batch.jpg,A photo of Elijah Craig Small Batch Bourbon whisky
1821,Russell’s Reserve Single Barrel,russell’s_reserve_single_barrel,data\images\russell’s_reserve_single_barrel\1821_russell’s_reserve_single_barrel.jpg,A photo of Russell’s Reserve Single Barrel Bourbon whisky
355,Baker's 7 Year 107 Proof,bakers_7_year_107_proof,data\images\bakers_7_year_107_proof\355_bakers_7_year_107_proof.jpg,A photo of Baker's 7 Year 107 Proof Bourbon whisky
12843,Blanton's Straight from the Barrel,blantons_straight_from_the_barrel,data\images\blantons_straight_from_the_barrel\12843_blantons_straight_from_the_barrel.jpg,A photo of Blanton's Straight from the Barrel Bourbon whisky
2214,Old Forester 1910 Old Fine Whiskey,old_forester_1910_old_fine_whiskey,data\images\old_forester_1910_old_fine_whiskey\2214_old_forester_1910_old_fine_whiskey.jpg,A photo of Old Forester 1910 Old Fine Whiskey Bourbon whisky
1211,Old Rip Van Winkle 10 Year,old_rip_van_winkle_10_year,data\images\old_rip_van_winkle_10_year\1211_old_rip_van_winkle_10_year.jpg,A photo of Old Rip Van Winkle 10 Year Bourbon whisky
16078,Russell's Reserve 13 Years Bourbon,russells_reserve_13_years_bourbon,data\images\russells_reserve_13_years_bourbon\16078_russells_reserve_13_years_bourbon.jpg,A photo of Russell's Reserve 13 Years Bourbon Bourbon whisky
1074,Early Times Bottled In Bond,early_times_bottled_in_bond,data\images\early_times_bottled_in_bond\1074_early_times_bottled_in_bond.jpg,A photo of Early Times Bottled In Bond Bourbon whisky
1282,Willett Family Estate Small Batch Rye 4 Year,willett_family_estate_small_batch_rye_4_year,data\images\willett_family_estate_small_batch_rye_4_year\1282_willett_family_estate_small_batch_rye_4_year.jpg,A photo of Willett Family Estate Small Batch Rye 4 Year Rye whisky
873,Weller Special Reserve,weller_special_reserve,data\images\weller_special_reserve\873_weller_special_reserve.jpg,A photo of Weller Special Reserve Bourbon whisky
