id,name,text_prompt,relative_path
164,Blanton's Original Single Barrel,"A photo of Blanton's Original Single Barrel Bourbon whisky, 46.5% ABV, 750ml bottle",data\images\blantons_original_single_barrel\164_blantons_original_single_barrel.jpg
2848,Eagle Rare 10 Year,"A photo of Eagle Rare 10 Year Bourbon whisky, 45.0% ABV, 750ml bottle",data\images\eagle_rare_10_year\2848_eagle_rare_10_year.jpg
4984,"E.H. Taylor, Jr. Small Batch","A photo of E.H. Taylor, Jr. Small Batch Bourbon whisky, 50.0% ABV, 750ml bottle","data\images\e.h._taylor,_jr._small_batch\4984_e.h._taylor,_jr._small_batch.jpg"
466,Buffalo Trace,"A photo of Buffalo Trace Bourbon whisky, 45.0% ABV, 750ml bottle",data\images\buffalo_trace\466_buffalo_trace.jpg
158,Weller Antique 107,"A photo of Weller Antique 107 Bourbon whisky, 53.5% ABV, 750ml bottle",data\images\weller_antique_107\158_weller_antique_107.jpg
2803,Weller Special Reserve,"A photo of Weller Special Reserve Bourbon whisky, 45.0% ABV, 750ml bottle",data\images\weller_special_reserve\2803_weller_special_reserve.jpg
1586,Weller 12 Year The Original Wheated Bourbon,"A photo of Weller 12 Year The Original Wheated Bourbon Bourbon whisky, 45.0% ABV, 750ml bottle",data\images\weller_12_year_the_original_wheated_bourbon\1586_weller_12_year_the_original_wheated_bourbon.jpg
2993,Stagg Jr.,"A photo of Stagg Jr. Bourbon whisky, 67.2% ABV, 750ml bottle",data\images\stagg_jr\2993_stagg_jr..jpg
4662,Henry McKenna 10 Year,"A photo of Henry McKenna 10 Year Bourbon whisky, 50.0% ABV, 750ml bottle",data\images\henry_mckenna_10_year\4662_henry_mckenna_10_year.jpg
409,Weller Full Proof,"A photo of Weller Full Proof Bourbon whisky, 57.0% ABV, 750ml bottle",data\images\weller_full_proof\409_weller_full_proof.jpg
5120,"E.H. Taylor, Jr. Single Barrel","A photo of E.H. Taylor, Jr. Single Barrel Bourbon whisky, 50.0% ABV, 750ml bottle","data\images\e.h._taylor,_jr._single_barrel\5120_e.h._taylor,_jr._single_barrel.jpg"
13266,Heaven Hill Bottled In Bond 7 Year,"A photo of Heaven Hill Bottled In Bond 7 Year Bourbon whisky, 50.0% ABV, 750ml bottle",data\images\heaven_hill_bottled_in_bond_7_year\13266_heaven_hill_bottled_in_bond_7_year.jpg
13089,Elijah Craig Toasted Barrel,"A photo of Elijah Craig Toasted Barrel Bourbon whisky, 47.0% ABV, 750ml bottle",data\images\elijah_craig_toasted_barrel\13089_elijah_craig_toasted_barrel.jpg
150,1792 Full Proof,"A photo of 1792 Full Proof Bourbon whisky, 62.5% ABV, 750ml bottle",data\images\1792_full_proof\150_1792_full_proof.jpg
159,Blanton's Gold Edition,"A photo of Blanton's Gold Edition Bourbon whisky, 51.5% ABV, 750ml bottle",data\images\blantons_gold_edition\159_blantons_gold_edition.jpg
4905,Elmer T. Lee,"A photo of Elmer T. Lee Bourbon whisky, 45.0% ABV, 750ml bottle",data\images\elmer_t._lee\4905_elmer_t._lee.jpg
1296,Knob Creek 12 Year,"A photo of Knob Creek 12 Year Bourbon whisky, 50.0% ABV, 750ml bottle",data\images\knob_creek_12_year\1296_knob_creek_12_year.jpg
